公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN214022273U","CN202023181245.9","一种生物芯片清洗装置","20201225","20210824","20210824","B08B  3/02 | B08B 13/00 | F26B 15/12 | F26B 21/00 | F26B 25/02","B08B","","","10","昆明寰基生物芯片产业有限公司","昆明寰基生物芯片产业有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","31",
"CN214022291U","CN202023051975.7","一种生物芯片干燥装置","20201217","20210824","20210824","B08B  3/04 | B08B  3/02 | F26B 21/00","B08B","","","7","昆明寰基生物芯片产业有限公司","昆明寰基生物芯片产业有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","42",
"CN113275049A","CN202110539106.9","一种生物芯片的制备方法、生物芯片及检测装置","20210518","20210820",,"B01L  3/00","B01L","","","13","京东方科技集团股份有限公司","京东方","罗欣莹 | 赵子健 | 丁丁 | 黄东升","罗欣莹","0","0","0","0","0","0","公开","0","13",
"CN214004645U","CN202023024527.8","生物芯片反应加热装置","20201215","20210820","20210820","C12M  1/38 | C12M  1/34 | C12M  1/02 | C12M  1/00","C12M","","","5","昆明寰基生物芯片产业有限公司","昆明寰基生物芯片产业有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","17",
"CN214004595U","CN202023008639.4","微阵列生物芯片杂交装置","20201215","20210820","20210820","C12M  1/00 | C12M  1/34","C12M","","","6","昆明寰基生物芯片产业有限公司","昆明寰基生物芯片产业有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","7",
"CN113214994A","CN202110639472.1","3D生物芯片及其生产设备、药筛装置、制备方法、应用","20210608","20210806",,"C12M  3/04 | C12M  3/00 | C12M  1/34 | C12M  1/26 | B29C 35/08 | C08F299/00 | C08F  2/48","C12M","","","30","刘琼","刘琼","刘琼 | 陈杰","刘琼","0","0","0","0","0","0","公开","0","17",
"CN113219164A","CN202110550781.1","生物芯片及其制备方法、检测装置","20210518","20210806",,"G01N 33/53","G01N","","","13","北京京东方技术开发有限公司 | 京东方科技集团股份有限公司","京东方","高厚乾 | 丁丁","高厚乾","0","0","0","0","0","0","公开","0","8",
"CN213893425U","CN202023023674.3","生物芯片容置器","20201215","20210806","20210806","B65D 25/02 | B65D 81/26 | B65D 81/38","B65D","","","5","昆明寰基生物芯片产业有限公司","昆明寰基生物芯片产业有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","19",
"CN113186162A","CN202110416127.1","一种结构仿生的三维活性类脑组织生物芯片","20210419","20210730",,"C12N  5/0793 | C12N  5/0797 | G06N  3/04","C12N","","","7","西安交通大学","西安交通大学","王玲 | 王森 | 郝志岩 | 周佳佳 | 李涤尘","王玲","0","0","0","0","0","0","公开","0","26",
"CN113192098A","CN202010037639.2","生物芯片的数据处理方法、装置、终端及可读介质","20200114","20210730",,"G06T  7/136 | G06T  7/155 | G06T  7/187","G06T","","","13","京东方科技集团股份有限公司","京东方","吴琼 | 赵子健 | 史永明 | 黄继景 | 唐大伟 | 刘宗民","吴琼","0","0","0","0","0","0","公开","0","15",
"CN113176401A","CN202110055527.4","生物芯片的基片","20210115","20210727",,"G01N 33/52","G01N","","","10","北京中科生仪科技有限公司","北京中科生仪科技有限公司","蔡亦梅 | 李洁昆 | 任鲁风 | 张瑜 | 高静 | 范东雨 | 贾欣月 | 金鑫浩","蔡亦梅","0","0","0","0","0","0","公开","0","32",
"CN213812372U","CN202023008719.X","一种生物芯片检测台","20201215","20210727","20210727","G01D 21/00 | B25B 11/00","G01D","","","6","昆明寰基生物芯片产业有限公司","昆明寰基生物芯片产业有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","22",
"CN113155739A","CN202110550616.6","一种生物芯片检测仪","20210520","20210723",,"G01N 21/01 | G01N 21/892","G01N","","","10","山东鼎圣科技信息有限公司","山东鼎圣科技信息有限公司","江世民","江世民","0","0","0","0","0","0","公开","0","17",
"CN113145183A","CN202010075614.1","一种生物芯片及其制作方法","20200122","20210723",,"B01L  3/00 | C12M  1/00","B01L","","","14","京东方科技集团股份有限公司","京东方","马啸尘 | 宁策 | 袁广才 | 谷新 | 李正亮","马啸尘","0","0","0","0","0","0","公开","0","13",
"CN113166974A","CN201980082590.8","一种生物芯片及其制备方法与应用","20191211","20210723",,"C40B 40/06 | C12Q  1/6837 | G01N 33/543","C40B","","","0","深圳华大生命科学研究院 | 深圳华大基因科技有限公司","深圳华大基因股份有限公司","汪建 | 徐讯 | 汪军 | 沈玥 | 倪鸣 | 章文蔚 | 王勇 | 江湘儿 | 黄小罗","汪建","0","0","0","0","0","0","公开","0","0",
"CN113106090A","CN202110663405.3","一种生物芯片的带有复合标签序列的探针及生物芯片","20210616","20210713","20210917","C12N 15/11 | C40B 40/06","C12N","","","11","苏州拉索生物芯片科技有限公司","苏州拉索生物芯片科技有限公司","李智 | 许心意 | 刘超钧","李智","0","0","0","0","0","0","有效","0","12",
"CN213680635U","CN202022369039.4","一种用于医药筛选的生物芯片杂交盒装置","20201022","20210713","20210713","C12M  1/00 | C12M  1/34","C12M","","","5","江苏仁明生物科技有限公司","江苏仁明生物科技有限公司","那日松 | 张立新 | 王毅 | 刘佳 | 赵熹","那日松","0","0","0","0","0","0","有效","0","20",
"CN213670823U","CN202022366857.9","一种用于医药筛选的生物芯片生产清洗干燥装置","20201022","20210713","20210713","B08B  3/10 | B08B 13/00 | F26B 23/06","B08B","","","5","江苏仁明生物科技有限公司","江苏仁明生物科技有限公司","那日松 | 赵熹 | 张立新 | 王毅 | 刘佳","那日松","0","0","0","0","0","0","有效","0","29",
"CN113092801A","CN202110395125.9","一种柱塞式生物芯片点样仪的点样头","20210413","20210709",,"G01N 35/10 | G01N  1/00","G01N","","","6","广东工业大学","广东工业大学","李涛","李涛","0","0","0","0","0","0","公开","0","32",
"CN113092441A","CN202110376871.3","一种基于表面增强拉曼散射的超灵敏生物芯片及其制备方法","20210408","20210709",,"G01N 21/65 | G01N 33/531","G01N","","","4","吉林大学","吉林大学","卢革宇 | 刘晓敏 | 张美玲 | 潘嘉林 | 张玲 | 包浩强","卢革宇","0","0","0","0","0","0","公开","0","51",
"CN113083784A","CN202110333642.3","一种便于使用的生物芯片洗干仪","20210329","20210709",,"B08B  3/10 | B08B 11/02 | B08B 13/00","B08B","","","8","姚志伟","姚志伟","姚志伟","姚志伟","0","0","0","0","0","0","公开","0","50",
"CN113083748A","CN202110333603.3","一种生物芯片阅读平台清洗装置","20210329","20210709",,"B08B  1/00 | B08B  3/02 | A61L  2/10 | F26B 21/00","B08B","","","8","姚志伟","姚志伟","姚志伟","姚志伟","0","0","0","0","0","0","公开","0","36",
"CN113092424A","CN202110291642.1","一种新型高通量生物芯片分析仪","20210318","20210709",,"G01N 21/64 | C12Q  1/686","G01N","","","9","上海医本医疗器械有限公司","上海医本医疗器械有限公司","李明阳 | 方耀东","李明阳","0","0","0","0","0","0","公开","0","30",
"CN213633473U","CN202023130298.8","一种生物芯片生产用点样机","20201223","20210706","20210706","G01N 35/10 | B66F  7/00 | B66F  7/28","G01N","","","6","包头市寰基生物科技有限公司","包头市寰基生物科技有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","13",
"CN113065310A","CN202110337821.4","基于粒子群算法的连续微流体生物芯片高级综合设计方法","20210330","20210702",,"G06F 30/398 | G06F 30/27 | G06N  3/00","G06F","","","6","福州大学","福州大学","刘耿耿 | 黄鸿斌 | 黄兴 | 徐赛娟 | 郭文忠 | 陈国龙","刘耿耿","0","0","0","0","0","0","公开","0","21",
"CN213596289U","CN202022106164.6","一种用于肺癌诊断和检测的生物芯片","20200923","20210702","20210702","C12M  1/34 | C12M  1/12 | C12M  1/00 | G01N 33/68","C12M","","","7","昆明医科大学第一附属医院","昆明医科大学","陀晓宇 | 赵华君 | 潘国庆 | 王智园 | 舒然 | 赵晓玮","陀晓宇","0","0","0","0","0","0","有效","0","18",
"CN213580691U","CN202022642958.4","一种生物芯片检测仪","20201116","20210629","20210629","G01N 21/84","G01N","","","6","苏州市博纳泰科生物技术有限公司","苏州市博纳泰科生物技术有限公司","张鹏","张鹏","0","0","0","0","0","0","有效","0","27",
