公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN114120983A","CN202111497387.2","音频数据处理方法及装置、设备、存储介质","20211209","20220301",,"G10L 15/08 | G10L 15/22 | G10L 15/26 | G10L 17/14 | G10L 17/22","G10L","","","24","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","刘晶","刘晶","0","0","0","0","0","0","公开","0","18",
"CN114120982A","CN202111494672.9","语音识别方法、语音处理方法、装置和自动驾驶车辆","20211207","20220301",,"G10L 15/08 | G10L 15/26","G10L","","","18","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","曹济任","曹济任","0","0","0","0","0","0","公开","0","14",
"CN114121022A","CN202111471714.7","语音唤醒方法、装置、电子设备以及存储介质","20211202","20220301",,"G10L 17/02 | G10L 17/22 | G10L 15/26 | G10L 15/30","G10L","","","15","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","陈真","陈真","0","0","0","0","0","0","公开","0","9",
"CN114119419A","CN202111439412.1","图像处理方法、装置、电子设备和存储介质","20211129","20220301",,"G06T  5/00","G06T","","","17","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","王召 | 王小云 | 陈明智","王召","0","0","0","0","0","0","公开","0","5",
"CN114120647A","CN202111427654.9","交通数据处理方法、装置、电子设备和介质","20211126","20220301",,"G08G  1/01 | G08G  1/08 | G08G  1/083","G08G","","","23","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","杨旭","杨旭","0","0","0","0","0","0","公开","0","12",
"CN114119833A","CN202111424182.1","一种主车模型展示方法、装置、电子设备及介质","20211126","20220301",,"G06T 15/00 | G06T 15/04","G06T","","","15","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","王园 | 马晚同","王园","0","0","0","0","0","0","公开","0","12",
"CN114115781A","CN202111419926.0","多媒体资源展示方法、装置、系统、设备及存储介质","20211126","20220301",,"G06F  3/14 | G06Q 50/30 | G07C  5/08","G06F","","","20","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（成都）有限公司","百度在线网络技术 | 阿波罗智行信息科技成都有限公司","秦圣林 | 刘更生","秦圣林","0","0","0","0","0","0","公开","0","11",
"CN114115539A","CN202111397537.2","汽车座舱环境切换方法、装置、设备以及存储介质","20211123","20220301",,"G06F  3/01 | G08B 21/06 | G10L 15/22","G06F","","","15","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","莫崇帅","莫崇帅","0","0","0","0","0","0","公开","0","9",
"CN114109690A","CN202111394587.5","一种车辆低温启动的引导方法及装置","20211123","20220301",,"F02N 19/10 | B60Q  9/00","F02N","","","13","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","杨林腾 | 王雪君","杨林腾","0","0","0","0","0","0","公开","0","17",
"CN114092916A","CN202111428118.0","图像处理方法、装置、电子设备、自动驾驶车辆及介质","20211126","20220225",,"G06V 20/58 | G06T  7/73 | G06T  7/80 | G06V 10/25","G06V","","","20","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","张甲甲 | 杨健 | 杨利平","张甲甲","0","0","0","0","0","0","公开","0","8",
"CN114092075A","CN202111422061.3","自动支付方法、装置、电子设备和介质","20211126","20220225",,"G06Q 20/06 | G06Q 20/08 | G06Q 20/40","G06Q","","","13","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","秦圣林 | 张亚玲","秦圣林","0","0","0","0","0","0","公开","0","16",
"CN114092915A","CN202111421112.0","一种路口交通流量验证方法、装置、设备及存储介质","20211126","20220225",,"G06V 20/58 | G06V 20/40 | G06K  9/62 | G06N 20/00 | G06V 10/74","G06V","","","15","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","徐赫 | 宋书青 | 王琪","徐赫","0","0","0","0","0","0","公开","0","15",
"CN114093170A","CN202111418302.7","一种信号机控制方案的生成方法、系统、装置及电子设备","20211126","20220225",,"G08G  1/01 | G08G  1/08","G08G","","","19","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（成都）有限公司","百度在线网络技术 | 阿波罗智行信息科技成都有限公司","王芳 | 徐赫","王芳","0","0","0","0","0","0","公开","0","10",
"CN114064677A","CN202111421934.9","一种数据更新方法、装置、设备及存储介质","20211126","20220218",,"G06F 16/23 | G06F 16/29","G06F","","","19","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（成都）有限公司","百度在线网络技术 | 阿波罗智行信息科技成都有限公司","饶文龙 | 龚伟 | 巩龙腾 | 徐子恒 | 石东 | 张衡 | 刘颖楠","饶文龙","0","0","0","0","0","0","公开","0","14",
"CN114030486A","CN202111574026.3","动态障碍物的轨迹预测方法、装置、电子设备和存储介质","20211221","20220211",,"B60W 60/00","B60W","","","23","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","章桢 | 于宁 | 王星宇","章桢","0","0","0","0","0","0","公开","0","11",
"CN114030483A","CN202111544722.X","车辆控制方法、装置、电子设备和介质","20211216","20220211",,"B60W 60/00 | B60W 40/00","B60W","","","21","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","于宁 | 章桢","于宁","0","0","0","0","0","0","公开","0","12",
"CN213808654U","CN202022781563.2","一种车辆运输用弹簧缓冲板","20201126","20210727","20210727","F16F 15/067","F16F","","","8","湖南阿波罗智行科技有限公司","湖南阿波罗智行科技有限公司","谭昊 | 陈志雄","谭昊","0","0","0","0","0","0","有效","0","11",
"CN112904317A","CN202110084677.8","一种多激光雷达与GNSS_INS系统标定方法","20210121","20210604",,"G01S  7/497 | G01C 21/16 | G01C 25/00 | G01S 17/86 | G01S 17/87 | G01S 19/23 | G01S 19/45 | G01S 19/47","G01S","","","5","湖南阿波罗智行科技有限公司","湖南阿波罗智行科技有限公司","谢奇明 | 周孚成 | 王维 | 郑勇飞","谢奇明","0","0","0","0","0","0","公开","0","36",
"CN112460195A","CN202011351128.4","一种车辆运输用磁悬浮缓冲装置","20201126","20210309",,"F16F 15/03 | F16F 15/02 | F16F 15/023","F16F","","","8","湖南阿波罗智行科技有限公司","湖南阿波罗智行科技有限公司","谭昊 | 陈志雄","谭昊","0","0","0","0","0","0","公开","0","20",
